GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
service,com.expansion,MenuOptions.new Comparator() {...},8,3,0,0,1,1,1,1,1,1
service,com.expansion,MenuOptions,229,333,26,26,72,101,22,19,2,13
